,average_temperature,average_electricity_usage
0,0.8909090909090909,24.828000000000003
1,0.7818181818181817,24.688000000000002
2,0.6000000000000001,19.31
3,0.3454545454545454,59.706
4,0.036363636363636376,99.667
5,0.309090909090909,49.333
6,0.2545454545454546,59.375
7,0.39999999999999997,55.172
8,0.5454545454545454,55.516999999999996
9,0.6545454545454545,25.938000000000002
10,0.8545454545454545,20.69
11,0.9272727272727272,24.333000000000002
12,0.9090909090909092,22.759
13,0.7636363636363637,24.688000000000002
14,0.6727272727272728,22.759
15,0.45454545454545453,50.588
16,0.309090909090909,79.0
17,0.2,87.18799999999999
18,0.309090909090909,47.333
19,0.3272727272727272,38.621
20,0.5818181818181818,27.930999999999997
21,0.8181818181818181,25.0
22,0.8909090909090909,17.241
23,0.9636363636363636,17.0
24,0.9090909090909092,22.188000000000002
25,0.7636363636363637,18.276
26,0.5818181818181818,27.241
27,0.41818181818181815,39.705999999999996
28,0.2545454545454546,81.667
29,0.18181818181818182,79.688
30,0.2363636363636364,67.667
31,0.27272727272727276,65.862
32,0.4909090909090909,54.839
33,0.6545454545454545,34.667
34,0.8363636363636364,23.448
35,0.8909090909090909,29.586
36,0.8545454545454545,32.448
37,0.7636363636363637,30.033
38,0.5454545454545454,43.586000000000006
39,0.3818181818181818,48.028999999999996
40,0.2181818181818182,52.424
41,0.18181818181818182,62.333
42,0.14545454545454545,71.156
43,0.27272727272727276,44.621
44,0.5636363636363637,19.357
45,0.7272727272727273,23.733
46,0.8727272727272728,10.414000000000001
47,1.0,17.875
48,0.9272727272727272,24.206999999999997
49,0.7454545454545454,24.333000000000002
50,0.5454545454545454,40.935
51,0.43636363636363634,42.938
52,0.2,65.25
53,0.0,101.3
54,0.14545454545454545,101.66
